id,type,raw_value,lux,timestamp
1,CDS,1386,338.5,1786182746
2,CDS,493,120.4,1786182746
3,CDS,1634,399.0,1786182746
4,CDS,665,162.4,1786182746
5,CDS,1979,483.3,1786182746
6,CDS,2013,491.6,1786182747
7,CDS,2414,589.5,1786182747
8,CDS,2246,548.5,1786182747
9,CDS,1489,363.6,1786182747
10,CDS,3624,885.0,1786182747
11,CDS,3682,899.1,1786182748
12,CDS,3196,780.5,1786182748
13,CDS,3935,960.9,1786182748
14,CDS,3144,767.8,1786182748
15,CDS,118,28.8,1786182748
16,CDS,2674,653.0,1786182749
17,CDS,841,205.4,1786182749
18,CDS,1556,380.0,1786182749
19,CDS,1159,283.0,1786182749
20,CDS,1047,255.7,1786182749
21,CDS,2052,501.1,1786182750
22,CDS,2677,653.7,1786182750
23,CDS,3729,910.6,1786182750
24,CDS,1958,478.1,1786182750
25,CDS,2341,571.7,1786182750
26,CDS,879,214.7,1786182751
27,CDS,2734,667.6,1786182751
28,CDS,3916,956.3,1786182751
29,CDS,2596,633.9,1786182751
30,CDS,3974,970.5,1786182751
